,time,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,power
0,0.0,0.2355168744721091,9.8852514902148,10.207365500191184,183.20036591551118,206.82026113480427,29.7700892313598,246.3706242185163,40.03526647077537,0.0,0.0,0.0,7090.065702744998
1,0.01,0.2344531442401719,9.893362541791399,10.215980125338005,183.79318793080287,205.71252789609147,29.866422905178375,246.57855157987032,40.06905470078363,0.0,0.0,0.0,7136.025737207708
2,0.02,0.23345355180976998,9.900970354507836,10.22406066080245,183.50980348622937,204.67358056584186,29.82037288688516,246.77358785699374,40.10074812750961,0.0,0.0,0.0,7114.0371129030045
3,0.03,0.23250434159394234,9.908182092615004,10.231720861952546,183.70486605072566,203.68877793835034,29.852070585313506,246.95847871242097,40.13079292156133,0.0,0.0,0.0,7129.168945844319
4,0.04,0.23160730478080266,9.914986221590041,10.23894841993853,183.79560448152824,202.75968903990943,29.866815595063937,247.1329270529403,40.1591408052436,0.0,0.0,0.0,7136.213390316435
5,0.05,0.2307586232074843,9.921413606944611,10.245776068425137,183.92164090386163,201.88209290617323,29.88729653417405,247.2977229564041,40.18592016633583,0.0,0.0,0.0,7146.0039529732185
6,0.060000000000000005,0.2299560938771215,9.927482610660155,10.252223266293724,184.03679275981975,201.0534762471342,29.90600872947944,247.45333609314488,40.21120732634337,0.0,0.0,0.0,7154.954865021603
7,0.07,0.2291972153893646,9.933213643989403,10.258311655059769,184.14831595129553,200.27104630478365,29.92413126621679,247.6002888147602,40.2350871674857,0.0,0.0,0.0,7163.629056302186
8,0.08,0.22847970362746534,9.938625283858809,10.264060932848606,184.2516432549382,199.5322611696615,29.940921969849427,247.73905656610748,40.257636949629415,0.0,0.0,0.0,7171.670467236897
9,0.09,0.227801324153174,9.943735562193574,10.269490223482364,184.3506461251206,198.83465376613904,29.957009952342048,247.87010093034405,40.27893168011259,0.0,0.0,0.0,7179.379562277764
10,0.09999999999999999,0.22716000345936224,9.948561146574272,10.274617205484704,184.44311555030515,198.175943711733,29.972036248960837,247.99384860610328,40.29904069753248,0.0,0.0,0.0,7186.583655272179
11,0.10999999999999999,0.22655374032538825,9.95311802627565,10.279458840449792,184.53117151916982,197.55394365584232,29.986345358210453,248.1107089878114,40.31803052854988,0.0,0.0,0.0,7193.447263534957
12,0.11999999999999998,0.22598066089712512,9.957421113503177,10.284030948945208,184.61380035283707,196.9666136990569,29.99977255710858,248.22106392944542,40.33596322449811,0.0,0.0,0.0,7199.890827825961
13,0.12999999999999998,0.22543897085000106,9.961484617211385,10.288348607298694,184.69220747630644,196.41201034759828,30.012513727413523,248.32527732159747,40.35289791765751,0.0,0.0,0.0,7203.003294579245
14,0.13999999999999999,0.22492698169875425,9.965321857965991,10.292425950543867,184.76598043833496,195.8883117606038,30.02450184573128,248.42369033526367,40.368890048370396,0.0,0.0,0.0,7205.880442975507
15,0.15,0.22444308416173891,9.968945478928786,10.296276396291896,184.83584174998086,195.39378892865568,30.03585432022621,248.51662682533487,40.38399224310916,0.0,0.0,0.0,7208.60503685429
16,0.16,0.22398575980749497,9.972367368382374,10.299912562135773,184.90167632883697,194.92681622169258,30.04655244998846,248.60439133702022,40.39825399051978,0.0,0.0,0.0,7211.172587997231
17,0.17,0.22355356551054076,9.975598784917272,10.30334639842841,184.9639471848656,194.48585427783505,30.056671474212134,248.68727231065296,40.41172216220327,0.0,0.0,0.0,7213.601153810912
18,0.18000000000000002,0.22314513770237177,9.978650333377635,10.30658916250488,185.02268162946956,194.0694532599011,30.066215831004637,248.76554145950416,40.42444091161034,0.0,0.0,0.0,7215.891799441113
19,0.19000000000000003,0.2227591826993185,9.981532044098296,10.30965150268836,185.07819931103526,193.67624201691444,30.075237463280693,248.8394557973967,40.43645200352897,0.0,0.0,0.0,7218.056991187366
20,0.20000000000000004,0.2223944772970391,9.9842533745896,10.312543459907678,185.1305913779367,193.30492782954042,30.083751182665896,248.909257677747,40.44779482042871,0.0,0.0,0.0,7220.100283839815
21,0.21000000000000005,0.222049862271646,9.986823263520595,10.315274524909691,185.18009492791566,192.9542890203672,30.09179551758181,248.97517617447517,40.4585065868588,0.0,0.0,0.0,7222.0309242196345
22,0.22000000000000006,0.22172424123563958,9.989250144098408,10.317853652340034,185.22682556956283,192.62317310599286,30.099389254443217,249.03742742186517,40.468622424675516,0.0,0.0,0.0,7223.853421066372
23,0.23000000000000007,0.22141657591239022,9.991541983619872,10.32028930265252,185.27097007993473,192.3104913794546,30.10656274455214,249.0962156261138,40.47817551741901,0.0,0.0,0.0,7225.575058692513
24,0.24000000000000007,0.22112588423186674,9.9937063014938,10.322589461152676,185.31264919030886,192.01521643162252,30.113335606760796,249.15173352497555,40.48719718500571,0.0,0.0,0.0,7227.200545622591
25,0.25000000000000006,0.2208512366476489,9.99575020008496,10.324761670679527,185.35201678268282,191.73637792469938,30.119732846918808,249.20416317658874,40.49571701191268,0.0,0.0,0.0,7228.735883260514
26,0.26000000000000006,0.22059175396633912,9.997680383904925,10.326813051914012,185.38918957912017,191.47305995701132,30.125773432380463,249.25367644965033,40.50376292683111,0.0,0.0,0.0,7230.185623771311
27,0.2700000000000001,0.22034660432094336,9.99950318483276,10.328750330105363,185.4242982866037,191.22439760653873,30.131478603051704,249.30043566849864,40.511361307492336,0.0,0.0,0.0,7231.5548647324085
28,0.2800000000000001,0.2201150009783615,10.001224580822681,10.330579854884293,185.45745164503387,190.98957436430015,30.136866029184034,249.34459409133552,40.51853705837908,0.0,0.0,0.0,7232.847847004168
29,0.2900000000000001,0.21989619976067604,10.002850217212922,10.33230762284845,185.48876286198526,190.76781921412768,30.141954107026713,249.38629645536142,40.52531369930993,0.0,0.0,0.0,7234.068985686411
30,0.3000000000000001,0.2196894969469173,10.00438542422045,10.333939296101073,185.51833129575317,190.55840423393605,30.146758982318875,249.42567942423437,40.53171343815153,0.0,0.0,0.0,7235.22215575653
31,0.3100000000000001,0.21949422702563723,10.005835235329792,10.335480221746076,185.54625617727893,190.3606420761239,30.15129678010461,249.4628720586146,40.53775724728212,0.0,0.0,0.0,7236.311227225106
32,0.3200000000000001,0.21930976074158642,10.007204403305682,10.336935448863134,185.57262733665337,190.17388377314015,30.155582097788272,249.4979962258841,40.5434649301711,0.0,0.0,0.0,7237.339703469185
33,0.3300000000000001,0.21913550311067748,10.008497416271307,10.338309745557403,185.59753237866275,189.99751653505274,30.159629171161868,249.53116701166834,40.548855188251295,0.0,0.0,0.0,7238.311001078848
34,0.34000000000000014,0.2189708916289877,10.009718512194688,10.33960761432167,185.62105204019875,189.83096176513882,30.163451119983417,249.56249309062574,40.553945681172365,0.0,0.0,0.0,7239.2282687960205
35,0.35000000000000014,0.21881539450631335,10.01087169305827,10.3408333070657,185.64326398925886,189.67367311949423,30.167060565315133,249.59207708920414,40.55875308574876,0.0,0.0,0.0,7240.094535675632
36,0.36000000000000015,0.21866850903835672,10.01196073788014,10.341990838928469,185.66424054795039,189.52513472403092,30.170469259511197,249.6200159190205,40.56329315013398,0.0,0.0,0.0,7240.912622282687
37,0.37000000000000016,0.2185297600285656,10.012989215260323,10.343084001588725,185.68405074485136,189.38485945692986,30.17368841972677,249.6464010981321,40.56758074602721,0.0,0.0,0.0,7241.685220734425
38,0.38000000000000017,0.2183986983164353,10.013960495042717,10.344116375638313,185.70275924135856,189.25238735234694,30.176728553449323,249.67131904968568,40.57162991720384,0.0,0.0,0.0,7242.414852827837
39,0.3900000000000002,0.21827489936482927,10.014877759454988,10.34509134240311,185.72042747598837,189.12728407588784,30.179599644447755,249.6948513872346,40.57545392587955,0.0,0.0,0.0,7243.103914667461
40,0.4000000000000002,0.21815796193383466,10.015744013531844,10.346012095004438,185.7371131983518,189.00913949834398,30.18231107704325,249.71707518172258,40.579065296095216,0.0,0.0,0.0,7243.754658490379
41,0.4100000000000002,0.2180475068151926,10.016562095022463,10.34688164887415,185.75287113730946,188.89756634025665,30.184871744684532,249.7380632152821,40.5824758549592,0.0,0.0,0.0,7244.369218724288
42,0.4200000000000002,0.21794317563991208,10.017334683696067,10.34770285163174,185.76775283773483,188.79219889899593,30.187290023421934,249.7578842196337,40.58569677138725,0.0,0.0,0.0,7244.949605621264
43,0.4300000000000002,0.21784462974427435,10.018064310161853,10.3484783924468,185.78180707542145,188.69269184246167,30.189573839329828,249.77660310206326,40.58873859282387,0.0,0.0,0.0,7245.497721439158
44,0.4400000000000002,0.21775154909931857,10.01875336417148,10.349210810852886,185.7950798410837,188.59871907370936,30.191730665906768,249.79428115815838,40.59161127981202,0.0,0.0,0.0,7246.015359817624
45,0.45000000000000023,0.2176636312948785,10.019404102475482,10.349902505088448,185.80761461743475,188.50997265673112,30.193767569100718,249.8109762731301,40.594324238707884,0.0,0.0,0.0,7246.504216584172
46,0.46000000000000024,0.2175805905795127,10.020018656228316,10.350555739959105,185.81945243144,188.42616180408072,30.195691215800217,249.82674311158044,40.596886352518176,0.0,0.0,0.0,7246.965891792052
47,0.47000000000000025,0.2175021569505516,10.020599037989017,10.351172654271078,185.83063205368333,188.3470119199128,30.197507906231447,249.84163329692038,40.59930601005557,0.0,0.0,0.0,7247.401897495547
48,0.48000000000000026,0.21742807529378227,10.021147148324651,10.351755267843258,185.84119007911306,188.2722636974238,30.19922358707946,249.85569558061673,40.60159113344135,0.0,0.0,0.0,7247.81366089907
49,0.49000000000000027,0.21735810456872146,10.021664782049875,10.352305488133293,185.85116108031954,188.20167226613307,30.2008438763958,249.86897600212322,40.60374920409423,0.0,0.0,0.0,7248.202530334992
50,0.5000000000000002,0.21729201703818998,10.022153634115037,10.352825116490777,185.86057769706912,188.13500638728357,30.20237407814781,249.88151803981086,40.605787287256554,0.0,0.0,0.0,7248.5697787554745
51,0.5100000000000002,0.2172295975391095,10.022615305168232,10.353315854064485,185.8694707604009,188.07204769388036,30.203819202384352,249.8933627535482,40.60771205516364,0.0,0.0,0.0,7248.9166085722445
52,0.5200000000000002,0.21717064279292933,10.023051306805401,10.353779307378579,185.87786938146886,188.01258997342453,30.20518397967267,249.90454891929167,40.60952980891471,0.0,0.0,0.0,7249.2441551214415
53,0.5300000000000002,0.21711496075320363,10.023463066528915,10.354216993599433,185.88580105573587,187.95643849054196,30.206472878029956,249.9151131562088,40.61124649913043,0.0,0.0,0.0,7249.5534907271895
54,0.5400000000000003,0.2170623699886514,10.023851932428808,10.354630345508085,185.89329174681876,187.9034093475591,30.207690116548164,249.9250900466958,40.612867745455816,0.0,0.0,0.0,7249.845627971559
55,0.5500000000000003,0.21701269909962034,10.024219177603682,10.355020716196362,185.90036597608304,187.85332888069166,30.208839679953176,249.93451224972614,40.614398854979356,0.0,0.0,0.0,7250.121523188762
56,0.5600000000000003,0.21696578616633413,10.024566004334753,10.355389383500972,185.90704689977846,187.806033089999,30.209925331139335,249.94341060787391,40.61584483962435,0.0,0.0,0.0,7250.38207947344
